
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-08-22 02:56:16 /api/login .............................................................................. ~ 3dt
  2026-08-22 02:56:17 /api/manage/dashboard ................................................................... ~ 3dt
  2026-08-22 02:56:20 /api/manage/competitions ............................................................. ~ 1.46ms
  2026-08-22 02:56:20 /api/manage/notifications ............................................................ ~ 1.45ms
  2026-08-22 02:56:20 /api/manage/editions ............................................................... ~ 508.97ms
  2026-08-22 02:56:20 /api/manage/dashboard .............................................................. ~ 509.19ms
  2026-08-22 02:56:20 /api/manage/competitions ............................................................. ~ 1.61ms
  2026-08-22 02:56:20 /api/manage/competitions ............................................................. ~ 1.14ms
  2026-08-22 02:56:20 /api/manage/dashboard ................................................................ ~ 0.88ms
  2026-08-22 02:56:21 /api/manage/editions ............................................................... ~ 507.59ms
  2026-08-22 02:56:21 /api/manage/notifications .......................................................... ~ 508.42ms
  2026-08-22 02:56:21 /api/manage/notifications ............................................................ ~ 1.29ms
  2026-08-22 02:56:21 /api/manage/editions ................................................................. ~ 1.23ms
  2026-08-22 02:56:21 /api/manage/dashboard .............................................................. ~ 505.06ms
  2026-08-22 02:56:21 /api/manage/competitions ........................................................... ~ 504.98ms
  2026-08-22 02:56:21 /api/manage/competitions ............................................................. ~ 1.13ms
  2026-08-22 02:56:21 /api/manage/dashboard .............................................................. ~ 507.03ms
  2026-08-22 02:56:22 /api/manage/editions ............................................................... ~ 506.45ms
  2026-08-22 02:56:22 /api/manage/notifications ............................................................ ~ 0.91ms
  2026-08-22 02:56:22 /api/manage/notifications .......................................................... ~ 517.61ms
  2026-08-22 02:56:22 /api/manage/editions ............................................................... ~ 518.50ms
  2026-08-22 02:56:22 /api/editions ........................................................................ ~ 1.73ms
  2026-08-22 02:56:22 /api/editions ........................................................................ ~ 1.28ms
  2026-08-22 02:56:23 /api/editions ........................................................................ ~ 0.23ms
  2026-08-22 02:56:23 /api/editions ...................................................................... ~ 503.42ms
  2026-08-22 02:56:34 /api/manage/competitions ................................................................ ~ 1dt
  2026-08-22 02:56:34 /api/manage/competitions ................................................................ ~ 1dt
  2026-08-22 02:56:35 /api/manage/competitions ................................................................ ~ 3dt
  2026-08-22 02:56:36 /api/manage/competitions ................................................................ ~ 4dt
  2026-08-22 02:56:38 /api/manage/venues ...................................................................... ~ 2dt
  2026-08-22 02:56:40 /api/manage/venues ...................................................................... ~ 1dt
  2026-08-22 02:56:41 /api/manage/competition-types ........................................................... ~ 1dt
  2026-08-22 02:56:42 /api/manage/competition-types ........................................................... ~ 1dt
  2026-08-22 02:56:42 /api/manage/city-staff .................................................................. ~ 1dt
  2026-08-22 02:56:43 /api/manage/city-staff .................................................................. ~ 1dt
  2026-08-22 02:56:44 /api/manage/venues ...................................................................... ~ 1dt
  2026-08-22 02:56:44 /api/manage/venues ...................................................................... ~ 1dt
  2026-08-22 02:56:45 /api/manage/competition-types ........................................................... ~ 1dt
  2026-08-22 02:56:46 /api/manage/competition-types ........................................................... ~ 2dt
  2026-08-22 02:56:47 /api/manage/city-staff .................................................................. ~ 2dt
  2026-08-22 02:56:48 /api/manage/city-staff .................................................................. ~ 3dt
  2026-08-22 02:56:51 /api/manage/general-documents ...................................................... ~ 513.68ms
  2026-08-22 02:56:52 /api/manage/general-documents ........................................................... ~ 1dt
  2026-08-22 02:57:06 /api/manage/general-documents ........................................................... ~ 1dt
  2026-08-22 02:57:07 /api/manage/general-documents ........................................................... ~ 4dt
  2026-08-22 02:57:16 /api/manage/general-documents ........................................................... ~ 2dt
  2026-08-22 02:57:20 /api/manage/general-documents ........................................................... ~ 1dt
  2026-08-22 02:57:22 /storage/site-content/general-documents/OA0Y1xEl1oTLCVZ2NAbp6kts96qrARQxRlHltLRm.docx ... ~ 4dt
  2026-08-22 02:57:27 /assets/index-DYteN_Wj.js ............................................................... ~ 2dt
  2026-08-22 02:57:27 /assets/index-CC_uuUPc.css .............................................................. ~ 3dt
  2026-08-22 02:57:30 /bsi-flash-logo.png .................................................................. ~ 0.50ms
  2026-08-22 02:57:30 /favicon.ico ......................................................................... ~ 7.36ms
  2026-08-22 02:57:53 /api/manage/competitions/8/downloadable-documents .................................. ~ 511.63ms
  2026-08-22 02:57:54 /api/manage/competitions/8/downloadable-documents ....................................... ~ 1dt
  2026-08-22 02:58:03 /api/login .............................................................................. ~ 1dt
  2026-08-22 02:58:04 /api/login ......................................................................... ~ 516.50ms
  2026-08-22 02:58:05 /api/login .............................................................................. ~ 1dt
  2026-08-22 02:58:06 /api/login .............................................................................. ~ 1dt
  2026-08-22 02:58:07 /api/login ......................................................................... ~ 512.53ms
  2026-08-22 02:58:10 /api/manage/competitions/8/downloadable-documents ....................................... ~ 1dt
  2026-08-22 02:58:11 /api/manage/competitions/8/downloadable-documents .................................. ~ 511.39ms
  2026-08-22 02:58:12 /api/manage/competitions ................................................................ ~ 1dt
  2026-08-22 02:58:13 /api/manage/competitions ............................................................. ~ 0.80ms
  2026-08-22 02:58:30 /api/manage/competitions/9/downloadable-documents .................................. ~ 510.23ms
  2026-08-22 02:58:31 /api/manage/competitions/9/downloadable-documents .................................. ~ 511.78ms
  2026-08-22 02:58:31 /api/manage/competitions ................................................................ ~ 1dt
  2026-08-22 02:58:32 /api/manage/competitions ........................................................... ~ 509.27ms
  2026-08-22 02:58:44 /api/manage/competitions/7/downloadable-documents ....................................... ~ 1dt
  2026-08-22 02:58:45 /api/manage/competitions/7/downloadable-documents .................................. ~ 522.61ms
  2026-08-22 02:58:46 /api/manage/competitions ................................................................ ~ 1dt
  2026-08-22 02:58:47 /api/manage/competitions ................................................................ ~ 1dt
  2026-08-22 02:58:50 /api/content/home-hero ............................................................. ~ 518.74ms
  2026-08-22 02:58:50 /api/venues ............................................................................. ~ 1dt
  2026-08-22 02:58:50 /api/venues ............................................................................. ~ 2dt
  2026-08-22 02:58:50 /api/competitions ....................................................................... ~ 2dt
  2026-08-22 02:58:50 /api/competitions ....................................................................... ~ 2dt
  2026-08-22 02:58:50 /api/content/home-hero .................................................................. ~ 3dt
  2026-08-22 02:58:50 /api/content/landing-extras ............................................................. ~ 3dt
  2026-08-22 02:58:53 /api/content/landing-extras ............................................................. ~ 1dt
  2026-08-22 02:58:53 /api/competitions ....................................................................... ~ 1dt
  2026-08-22 02:58:54 /api/competitions ....................................................................... ~ 1dt
  2026-08-22 02:58:55 /api/competition-types .................................................................. ~ 1dt
  2026-08-22 02:58:55 /api/competition-types .................................................................. ~ 1dt
  2026-08-22 02:58:55 /api/content/home-hero .................................................................. ~ 1dt
  2026-08-22 02:58:56 /api/venues ............................................................................. ~ 1dt
  2026-08-22 02:58:57 /api/venues ............................................................................. ~ 1dt
  2026-08-22 02:58:57 /api/competitions ....................................................................... ~ 1dt
  2026-08-22 02:58:58 /api/competitions ....................................................................... ~ 1dt
  2026-08-22 02:58:58 /api/content/general-documents ..................................................... ~ 511.93ms
  2026-08-22 02:58:59 /api/content/home-hero ............................................................. ~ 503.60ms
  2026-08-22 02:58:59 /api/content/landing-extras ............................................................. ~ 1dt
  2026-08-22 02:59:00 /api/content/landing-extras ............................................................. ~ 1dt
  2026-08-22 02:59:00 /api/competitions ....................................................................... ~ 1dt
  2026-08-22 02:59:00 /api/competitions ....................................................................... ~ 1dt
  2026-08-22 02:59:01 /api/competition-types .................................................................. ~ 1dt
  2026-08-22 02:59:02 /api/competition-types .................................................................. ~ 2dt
  2026-08-22 02:59:02 /api/content/general-documents .......................................................... ~ 1dt
  2026-08-22 02:59:04 /api/login .............................................................................. ~ 3dt
  2026-08-22 02:59:07 /api/content/general-documents .......................................................... ~ 1dt
  2026-08-22 02:59:08 /api/login .............................................................................. ~ 2dt
  2026-08-22 02:59:08 /api/content/general-documents .......................................................... ~ 2dt
  2026-08-22 02:59:10 /api/login .............................................................................. ~ 2dt
  2026-08-22 02:59:12 /storage/site-content/general-documents/OA0Y1xEl1oTLCVZ2NAbp6kts96qrARQxRlHltLRm.docx  ~ 513.68ms
  2026-08-22 02:59:13 /api/login .............................................................................. ~ 4dt
  2026-08-22 02:59:17 /api/login .............................................................................. ~ 2dt
  2026-08-22 02:59:28 /api/content/home-hero .................................................................. ~ 1dt
  2026-08-22 02:59:28 /api/venues ............................................................................. ~ 1dt
  2026-08-22 02:59:28 /api/competitions ....................................................................... ~ 2dt
  2026-08-22 02:59:29 /api/competition-types .................................................................. ~ 2dt
  2026-08-22 02:59:30 /api/competitions ....................................................................... ~ 1dt
  2026-08-22 02:59:31 /api/content/landing-extras ............................................................. ~ 1dt
  2026-08-22 02:59:32 /api/content/home-hero .................................................................. ~ 2dt
  2026-08-22 02:59:33 /api/competitions ....................................................................... ~ 1dt
  2026-08-22 02:59:34 /api/venues ............................................................................. ~ 1dt
  2026-08-22 02:59:35 /api/content/landing-extras ............................................................. ~ 1dt
  2026-08-22 02:59:35 /api/competitions ....................................................................... ~ 1dt
  2026-08-22 02:59:36 /api/competition-types .................................................................. ~ 1dt
  2026-08-22 02:59:37 /api/content/home-hero .................................................................. ~ 1dt
  2026-08-22 02:59:37 /api/venues ............................................................................. ~ 1dt
  2026-08-22 02:59:38 /api/competitions ....................................................................... ~ 2dt
